,tokens,tags
10,"['星', '河', '盛', '世', '-', 'a', '3', '栋', ' ', '(', '2', '单', '元', '8', '0', '9', ')']","['O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'O', 'O', 'B-unit', 'I-unit', 'I-unit', 'B-level', 'B-room', 'I-room', 'O']"
11,"['大', '发', '埔', '村', ' ', '(', '东', '村', '3', '巷', '1', '2', '号', '5', '0', '2', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'B-room', 'I-room', 'O']"
12,"['龙', '军', '工', '业', '区', '-', '1', '1', '栋', ' ', '(', '5', '楼', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'O', 'O', 'B-level', 'I-level', 'O']"
13,"['万', '科', '璞', '悦', '山', ' ', '(', '别', '墅', '区', '1', '4', '0', '2', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'I-level', 'B-room', 'I-room', 'O']"
14,"['鸿', '荣', '源', '·', '天', '俊', '(', '建', '设', '中', ')', '-', 'c', '栋', ' ', '(', 'c', '座', '5', '0', '楼', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'B-building', 'I-building', 'B-level', 'I-level', 'I-level', 'O']"
15,"['深', '圳', '市', '龙', '岗', '区', '坂', '田', '街', '道', '南', '坑', '第', '二', '工', '业', '园', ' ', '(', 'a', '栋', '三', '楼', '西', '边', '（', '靠', '近', '工', '业', '区', '门', '口', '楼', '梯', '上', '）', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-level', 'I-level', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
16,"['横', '岭', '四', '区', '-', '1', '2', '0', '号', '楼', ' ', '(', '9', '0', '4', ')']","['O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'I-building', 'I-building', 'O', 'O', 'B-level', 'B-room', 'I-room', 'O']"
17,"['南', '坑', '路', '-', '1', '0', '1', '号', '楼', ' ', '(', '1', '0', '1', '栋', '2', '0', '2', ')']","['O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'I-building', 'I-building', 'O', 'O', 'B-building', 'I-building', 'I-building', 'I-building', 'B-level', 'B-room', 'I-room', 'O']"
18,"['简', '上', '村', 'b', '区', '-', '5', '栋', ' ', '(', '二', '区', '5', '栋', '6', '0', '1', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-level', 'B-room', 'I-room', 'O']"
19,"['星', '河', '丹', '堤', ' ', '(', 'f', '区', '2', '_', '2', '_', '2', '5', '0', '2', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'O', 'B-unit', 'O', 'B-level', 'I-level', 'B-room', 'I-room', 'O']"
20,"['万', '科', '星', '火', 'o', 'n', 'l', 'i', 'n', 'e', '-', '7', '栋', ' ', '(', '前', '门', '前', '台', '1', '3', '5', '-', '1', '3', '6', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'O', 'O', 'O', 'O', 'B-room', 'I-room', 'I-room', 'I-room', 'I-room', 'I-room', 'I-room', 'O']"
21,"['景', '尚', '公', '馆', ' ', '(', '1', '3', '5', '栋', '7', '1', '1', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'I-building', 'B-level', 'B-room', 'I-room', 'O']"
22,"['卓', '记', '潮', '味', '(', '水', '岸', '新', '都', '店', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
23,"['蒸', '鲜', '汤', '包', '(', '麒', '麟', '路', '店', ')', ' ', '(', '蒸', '鲜', '汤', '包', '旁', '边', '楼', '梯', '上', '来', '电', '梯', '6', '楼', '右', '边', '5', '0', '6', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'I-level', 'O', 'O', 'B-room', 'I-room', 'I-room', 'O']"
24,"['星', '河', '传', '奇', '一', '期', ' ', '(', '3', 'a', '2', '幢', '4', '0', '2', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'I-building', 'B-level', 'B-room', 'I-room', 'O']"
25,"['白', '石', '龙', '一', '区', '-', '2', '1', '栋', ' ', '(', '2', '1', '栋', '6', '0', '1', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'O', 'O', 'B-building', 'I-building', 'I-building', 'B-level', 'B-room', 'I-room', 'O']"
26,"['美', '吉', '姆', '儿', '童', '发', '展', '中', '心', '(', '坂', '田', '中', '心', ')', ' ', '(', '3', '楼', '美', '吉', '姆', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'I-level', 'O', 'O', 'O', 'O']"
27,"['龙', '塘', '芷', '兰', '堂', '养', '生', '馆', ' ', '(', '北', '区', '十', '巷', '一', '号', '6', '楼', '6', '0', '1', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'I-level', 'B-room', 'I-room', 'I-room', 'O']"
28,"['沙', '吓', '村', ' ', '(', '二', '巷', '5', '栋', '3', '号', '铺', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'O', 'O']"
29,"['星', '河', 'w', 'o', 'r', 'l', 'd', 't', 'o', 'w', 'e', 'r', 'a', ' ', '(', '3', '1', '楼', '瑞', '捷', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'O', 'O', 'B-level', 'I-level', 'I-level', 'O', 'O', 'O']"
30,"['润', '达', '圆', '庭', ' ', '(', 'g', '栋', '5', 'c', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-level', 'B-room', 'O']"
31,"['1', '9', '7', '0', '科', '技', '小', '镇', ' ', '(', '7', '栋', '3', '楼', '3', '0', '1', '室', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-level', 'I-level', 'B-room', 'I-room', 'I-room', 'I-room', 'O']"
32,"['城', '家', '公', '寓', '(', '机', '器', '人', '城', '店', ')', ' ', '(', '5', '楼', 'b', '6', '0', '8', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'I-level', 'B-room', 'I-room', 'I-room', 'I-room', 'O']"
33,"['龙', '璧', '工', '业', '城', ' ', '(', '坂', '田', '街', '道', '龙', '壁', '工', '业', '区', '七', '栋', '6', '楼', '东', '边', '。', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-level', 'I-level', 'O', 'O', 'O', 'O']"
34,"['万', '家', '灯', '火', ' ', '(', '2', '栋', '2', '单', '元', '5', '0', '5', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-unit', 'I-unit', 'I-unit', 'B-level', 'B-room', 'I-room', 'O']"
35,"['上', '河', '坊', '购', '物', '乐', '园', ' ', '(', '书', '香', '门', '第', '上', '河', '坊', '广', '场', '1', '1', '1', '6', '-', '1', '1', '2', '1', '号', '商', '铺', ' ', '（', '全', '盛', '舞', '蹈', '）', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'I-level', 'B-room', 'I-room', 'I-room', 'I-room', 'I-room', 'I-room', 'I-room', 'I-room', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
36,"['恒', '安', '消', '防', '工', '程', '有', '限', '公', '司', ' ', '(', '恒', '安', '消', '防', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
37,"['星', '河', 'w', 'o', 'r', 'l', 'd', '1', '期', '-', 'a', '座', ' ', '(', 'a', '座', '3', '0', '0', '5', 'b', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'B-building', 'I-building', 'B-level', 'I-level', 'B-room', 'I-room', 'I-room', 'O']"
38,"['佳', '兆', '业', '水', '岸', '新', '都', '-', '4', '2', '栋', ' ', '(', '五', '期', '4', '2', '栋', '1', '2', '0', '6', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'B-level', 'I-level', 'B-room', 'I-room', 'O']"
39,"['龙', '光', '玖', '钻', '北', '乙', '期', '-', '2', 'b', '栋', ' ', '(', '4', '3', '0', '3', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'O', 'O', 'B-level', 'I-level', 'B-room', 'I-room', 'O']"
40,"['上', '塘', '(', '地', '铁', '站', ')', ' ', '(', 'a', '1', '口', '上', '来', '车', '控', '室', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
41,"['特', '发', '·', '和', '平', '里', '1', '期', '-', 'd', '座', ' ', '(', '1', '8', '楼', '1', '8', '0', '3', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'B-level', 'I-level', 'I-level', 'B-room', 'I-room', 'I-room', 'I-room', 'O']"
42,"['坂', '田', '创', '意', '园', 'y', '1', ' ', '(', 'y', '1', ' ', '栋', '2', '1', '4', ')']","['O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'B-level', 'B-room', 'I-room', 'O']"
43,"['民', '乐', '科', '技', '园', ' ', '(', 'e', '栋', '2', '0', '9', '（', '创', '客', '工', '坊', '）', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-level', 'B-room', 'I-room', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
44,"['绿', '茶', '餐', '厅', '(', '万', '科', '广', '场', '店', ')', ' ', '(', '四', '楼', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'I-level', 'O']"
45,"['四', '季', '花', '城', '-', '罗', '兰', '苑', ' ', '(', 'j', '2', '0', '2', '（', '东', '二', '门', '）', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'B-level', 'B-room', 'I-room', 'O', 'O', 'O', 'O', 'O', 'O']"
46,"['和', '平', '里', '花', '园', 'i', 'i', '期', ' ', '(', '杜', '鹃', '阁', '3', '8', '1', '0', '室', '（', '送', '到', '家', '）', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'I-level', 'B-room', 'I-room', 'I-room', 'O', 'O', 'O', 'O', 'O', 'O']"
47,"['万', '科', '和', '风', '轩', '1', '期', ' ', '(', '万', '科', '和', '风', '轩', 'b', '1', '4', '0', '3', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'B-level', 'I-level', 'B-room', 'I-room', 'O']"
48,"['卓', '越', '皇', '后', '道', ' ', '(', '3', 'a', '1', '1', 'c', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-level', 'I-level', 'B-room', 'O']"
49,"['龙', '悦', '居', '三', '期', ' ', '(', '4', '栋', '二', '楼', '2', '0', '8', '号', '（', '放', '门', '口', '旁', '边', '，', '送', '不', '进', '来', '就', '送', '到', '东', '门', '）', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-level', 'I-level', 'B-room', 'I-room', 'I-room', 'I-room', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
50,"['水', '榭', '春', '天', '5', '期', ' ', '(', '2', 'a', '栋', '1', '2', 'd', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'B-level', 'I-level', 'B-room', 'O']"
51,"['上', '油', '松', '荔', '苑', '山', '庄', ' ', '(', '0', '6', '8', '号', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-room', 'I-room', 'I-room', 'I-room', 'O']"
52,"['深', '港', '公', '寓', ' ', '(', '3', '1', '0', '号', '房', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'B-room', 'I-room', 'I-room', 'O', 'O']"
53,"['和', '磡', '工', '业', '区', '-', 'a', '2', '栋', ' ', '(', '赛', '龙', '投', '资', '发', '展', '有', '限', '公', '司', 'a', '2', '栋', '1', '0', '1', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'B-level', 'B-room', 'I-room', 'O']"
54,"['精', '锭', '科', '技', '园', '-', '8', '号', '楼', ' ', '(', '精', '锭', '科', '技', '园', '后', '门', '8', '栋', '1', '0', '1', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-level', 'B-room', 'I-room', 'O']"
55,"['松', '仔', '园', '村', '三', '区', '-', '1', '1', '栋', ' ', '(', '三', '区', '1', '1', '号', '2', '0', '4', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'B-room', 'I-room', 'O']"
56,"['星', '河', 'w', 'o', 'r', 'l', 'd', '-', 'g', '座', ' ', '(', '1', '楼', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'B-level', 'I-level', 'O']"
57,"['星', '河', '丹', '堤', 'e', '区', ' ', '(', '2', '栋', '1', '单', '元', '1', '3', '0', '5', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-unit', 'I-unit', 'I-unit', 'B-level', 'I-level', 'B-room', 'I-room', 'O']"
58,"['华', '南', '科', '技', '园', '-', 'a', '栋', ' ', '(', '4', '楼', '整', '层', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'B-level', 'I-level', 'O', 'O', 'O']"
59,"['鑫', '茂', '公', '寓', ' ', '(', 'a', '座', '1', '1', '3', '8', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-level', 'I-level', 'B-room', 'I-room', 'O']"
60,"['1', '8', 'p', 'l', 'u', 's', '公', '寓', '(', '红', '山', '店', ')', '-', 'c', '栋', ' ', '(', '深', '圳', '市', '龙', '华', '区', '民', '治', '街', '道', '润', '达', '圆', '庭', 'c', '栋', '1', '8', 'd', ' ', ')']","['B-level', 'I-level', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'B-room', 'O', 'O']"
61,"['星', '河', '传', '奇', '2', '期', ' ', '(', 'b', '座', '2', '5', '0', '6', '室', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-level', 'I-level', 'B-room', 'I-room', 'I-room', 'O']"
62,"['龙', '园', '大', '观', '(', '一', '期', ')', ' ', '(', 'a', '座', '2', '3', 'b', '房', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-level', 'I-level', 'B-room', 'I-room', 'O']"
63,"['丰', '泽', '湖', '山', '庄', '-', '7', '栋', ' ', '(', '4', '单', '元', '1', '0', '7', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'B-unit', 'I-unit', 'I-unit', 'B-level', 'B-room', 'I-room', 'O']"
64,"['民', '乐', '翠', '园', '-', '8', '栋', ' ', '(', '8', '栋', '9', '5', '9', ')']","['O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'B-building', 'I-building', 'B-level', 'B-room', 'I-room', 'O']"
65,"['松', '仔', '园', ' ', '(', '2', '区', '5', '1', '栋', '1', '0', '2', '号', '铺', '仙', '峰', '分', '行', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'B-room', 'I-room', 'I-room', 'I-room', 'O', 'O', 'O', 'O', 'O', 'O']"
66,"['南', '国', '电', '商', '物', '流', '园', '-', 'c', '栋', ' ', '(', 'c', '栋', '二', '楼', '，', '掌', '柜', '物', '流', '-', '前', '台', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'B-building', 'I-building', 'B-level', 'I-level', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
67,"['星', '河', 'w', 'o', 'r', 'l', 'd', '-', 'g', '座', ' ', '(', '3', '楼', '货', '拉', '拉', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'B-level', 'I-level', 'O', 'O', 'O', 'O']"
68,"['巨', '光', '电', '商', '园', '南', '坑', '园', ' ', '(', '金', '奕', '公', '寓', '3', '栋', '7', '1', '9', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-level', 'B-room', 'I-room', 'O']"
69,"['创', '兴', '时', '代', ' ', '(', 'b', '2', '栋', '3', '1', '2', '室', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'B-level', 'B-room', 'I-room', 'I-room', 'O']"
70,"['公', '园', '大', '地', '-', '8', '栋', ' ', '(', '8', '栋', '1', '2', '0', '3', ')']","['O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'B-building', 'I-building', 'B-level', 'I-level', 'B-room', 'I-room', 'O']"
71,"['深', '国', '际', '万', '科', '和', '雅', '轩', ' ', '(', '1', 'a', '4', '0', '4', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-level', 'B-room', 'I-room', 'O']"
72,"['万', '科', '时', '代', '广', '场', 'v', '寓', '1', '栋', '-', '1', '栋', ' ', '(', '2', '1', '层', '2', '1', '0', '5', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'B-building', 'I-building', 'O', 'O', 'B-level', 'I-level', 'I-level', 'B-room', 'I-room', 'I-room', 'I-room', 'O']"
73,"['百', '佳', '永', '辉', '超', '市', '(', '龙', '岗', '雅', '宝', '星', '河', '店', ')', ' ', '(', '收', '银', '门', '口', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
74,"['高', '时', '文', '体', '中', '心', '篮', '球', '馆', ' ', '(', '放', '前', '台', ' ', '打', '完', '球', '来', '拿', '（', '4', 'b', '）', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'B-room', 'O', 'O']"
75,"['龙', '军', '花', '园', ' ', '(', '六', '栋', '二', '单', '元', '1', '5', 'a', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-unit', 'I-unit', 'I-unit', 'B-level', 'I-level', 'B-room', 'O']"
76,"['深', '圳', '知', '行', '致', '远', '电', '子', '商', '务', '有', '限', '公', '司', ' ', '(', '3', '0', '1', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'B-room', 'I-room', 'O']"
77,"['h', 'b', 'c', '汇', '隆', '中', '心', '-', '2', '号', '楼', ' ', '(', ' ', '4', '0', '层', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'O', 'O', 'O', 'B-level', 'I-level', 'I-level', 'O']"
78,"['樟', '坑', '三', '区', '-', '5', '栋', ' ', '(', '5', '0', '6', ')']","['O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'B-level', 'B-room', 'I-room', 'O']"
79,"['和', '磡', '村', ' ', '(', '南', '四', '巷', '一', '号', '8', '0', '2', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'B-room', 'I-room', 'O']"
80,"['丽', '江', '龙', '继', '斑', '鱼', '庄', '(', '五', '和', '店', ')', ' ', '(', '一', '楼', '打', '电', '话', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'I-level', 'O', 'O', 'O', 'O']"
81,"['金', '洲', '嘉', '丽', '园', ' ', '(', '9', '-', '2', '-', '6', '0', '7', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'O', 'B-unit', 'O', 'B-level', 'B-room', 'I-room', 'O']"
82,"['星', '河', '传', '奇', '2', '期', ' ', '(', 'c', '座', '2', '7', '0', '3', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-level', 'I-level', 'B-room', 'I-room', 'O']"
83,"['龙', '塘', '新', '村', '北', '二', '巷', '-', '7', '栋', ' ', '(', '1', '1', '0', '1', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'B-level', 'I-level', 'B-room', 'I-room', 'O']"
84,"['星', '河', '传', '奇', '一', '期', '-', '1', '栋', ' ', '(', 'c', '座', '2', '2', '0', '6', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'O', 'O', 'O', 'O', 'B-level', 'I-level', 'B-room', 'I-room', 'O']"
85,"['龙', '光', '玖', '钻', '南', '区', '-', '4', 'a', '栋', ' ', '(', '龙', '光', '玖', '钻', '4', 'a', '7', '3', '0', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'B-level', 'B-room', 'I-room', 'O']"
86,"['深', '圳', '市', '龙', '岗', '区', '人', '民', '医', '院', ' ', '(', '门', '诊', '楼', '4', '楼', '病', '房', '五', '官', '科', '医', '生', '办', '公', '室', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-building', 'I-building', 'I-building', 'B-level', 'I-level', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
87,"['水', '斗', '新', '围', '村', ' ', '(', '工', '业', '路', '水', '斗', '新', '围', '村', '4', '巷', '9', '号', '1', '楼', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-level', 'I-level', 'O']"
