,Unnamed: 0,address,building,unit,level,room,用户地址,楼,单元,层,房间
20,20,锦绣鸿都大厦(正门（电话我下去）),,,,,锦绣鸿都大厦 (正门（电话我下去）),,,,
21,21,水斗新围村(5巷9号303),,,3,303,水斗新围村 (5巷9号303),,,3,303
22,22,潜龙鑫茂花园c区(二单元c1012),,二单元,10,c1012,潜龙鑫茂花园C区 (二单元C1012),,二单元,10,1012
23,23,淘金地电子商务孵化基地-a座(深圳市龙华新区腾龙路淘金地大厦a栋5楼508),a座,,5,508,淘金地电子商务孵化基地-A座 (深圳市龙华新区腾龙路淘金地大厦A栋5楼508),a座,,5楼,508
24,24,和成世纪名园3栋-b座(3b1906),3栋|b座,,19,1906,和成世纪名园3栋-B座 (3B1906),3栋b座,,19,1906
25,25,星河world-g座(g1座601),g座,,6,01,星河WORLD-G座 (G1座601),g|g1座,,6,601
26,26,深圳创丰宝汽车销售服务有限公司-西门(创丰宝宝马保安亭),,,,创丰宝宝马保安亭,深圳创丰宝汽车销售服务有限公司-西门 (创丰宝宝马保安亭),,,,
27,27,深圳深铁铂尔曼酒店(4711),,,,4711,深圳深铁铂尔曼酒店 (4711),,,47,4711
28,28,平安福药房(万科店)(平安福),,,,平安福,平安福药房(万科店) (平安福),,,,
29,29,星河world1期-a座(23楼08b室),a座,,23,08b,星河WORLD1期-A座 (23楼08B室),a座,,23楼,08b室
30,30,星河worldtowere(503),,,5,503,星河WORLD TOWER E (503),[15],,5,503
31,31,金地上塘道花园(龙华区上塘路金地上塘道花园一期6栋8c),6栋,,8,8c,金地上塘道花园 (龙华区上塘路金地上塘道花园一期6栋8c),6栋,,8,c
32,32,海利轩科技(杨美路21栋2楼),21栋,,2,,海利轩科技 (杨美路21栋2楼),21栋,,2楼,
33,33,卓记潮味(水岸新都店),,,,,卓记潮味(水岸新都店),,,,
34,34,潜龙鑫茂花园a区-5栋(2单元2e),5栋,2单元,2,2e,潜龙鑫茂花园A区-5栋 (2单元2e),5栋,2单元,2,e
35,35,绿景公馆1866北区-a座(24c),a座,,24,24c,绿景公馆1866北区-A座 (24C),a座,,24,c
36,36,星河world·cocopark(坂田店)(负一楼凯伦口腔前台),,,-1,,星河WORLD·COCO Park(坂田店) (负一楼凯伦口腔前台),,,负一楼,
37,37,翠岭华庭-3栋-3单元(16d到门口打电话通知，敲门听不到),3栋,3单元,16,16d,翠岭华庭-3栋-3单元 (16D到门口打电话通知，敲门听不到),3栋,3单元,16,d
38,38,安居尚龙苑(三单元2802。),,三单元,28,2802,安居尚龙苑 (三单元2802。),,3单元,28,2802
39,39,龙塘居(3栋803室),3栋,,8,03,龙塘居 (3栋803室),3栋,,8,803
40,40,欧力达润滑油科技有限公司(西南门)(旁边的fashion酒庄),,,,,欧力达润滑油科技有限公司(西南门) (旁边的fashion酒庄),,,,
41,41,陆海大厦(陆海大厦),,,,,陆海大厦 (陆海大厦),,,,
42,42,幸福枫景花园(1栋3单元1002),1栋,3单元,10,1002,幸福枫景花园 (1栋3单元1002),1栋,3单元,10,1002
43,43,淘景商务大厦(1510),,,15,10,淘景商务大厦 (1510),,,15,1510
44,44,莱蒙水榭春天2期(5栋芙蓉苑32c),5栋,芙蓉苑,32,32c,莱蒙水榭春天2期 (5栋芙蓉苑32C),5栋,,32,c
45,45,高时新能源产业园-g1栋(0927),g1栋,,,0927,高时新能源产业园-G1栋 (0927),g1栋,,9,927
46,46,民乐翠园-4栋(2单元605),4栋,2单元,6,605,民乐翠园-4栋 (2单元605),4栋,2单元,6,605
47,47,坂田·和一空间-c栋(一楼),c栋,,1,,坂田·和一空间-C栋 (一楼),c栋,,一楼,
48,48,景俊大厦-a栋(a607),a栋,,6,07,景俊大厦-A栋 (A607),a栋,,6,607
49,49,朝阳新村23号(民治小学教师之家)(进村口直走到底左手边（a202）),,,,,朝阳新村23号(民治小学教师之家) (进村口直走到底左手边（A202）),23号楼,a,2,202
50,50,梅花山庄韵梅园-62栋(梅花山庄幼儿园后门),62栋,,,,梅花山庄韵梅园-62栋 (梅花山庄幼儿园后门),62栋,,,
51,51,塘水围老村-121栋(121栋1203),121栋,,12,03,塘水围老村-121栋 (121栋1203),121栋,,12,1203
52,52,大发埔村(东村五巷8号802),,,8,02,大发埔村 (东村五巷8号802),,,8,802
53,53,悦湖大厦(横岭五区39栋301),39栋,,3,01,悦湖大厦 (横岭五区39栋301),39栋,,3,301
54,54,民乐花园-31栋(a单元202),31栋,a单元,2,202,民乐花园-31栋 (A单元202),31栋,a单元,2,202
55,55,下油松新村-53栋(53栋802),53栋,,8,802,下油松新村-53栋 (53栋802),53栋,,8,802
56,56,星河郡寓(深圳雅宝店)(1703),,,17,1703,星河郡寓(深圳雅宝店) (1703),,,17,1703
57,57,溪山美地(（北门）5栋12ab),5栋,,12,12ab,溪山美地 (（北门）5栋12AB),5栋,,12,ab
58,58,慧心茶花园·茶馆(梅花山庄韵梅园12栋慧心茶花园·茶馆),12栋,,,,慧心茶花园·茶馆 (梅花山庄韵梅园12栋 慧心茶花园·茶馆),12栋,,,
59,59,树街の猫(吉华路586号吉华公寓407号房),,,4,407号房,树街の猫 (吉华路586号吉华公寓407号房),,,4,407号
60,60,华业玫瑰四季ⅱ(龙华区民治街道华业玫瑰四季二期一栋二单元6a),一栋,二单元,6,6a,华业玫瑰四季Ⅱ (龙华区民治街道华业玫瑰四季二期一栋二单元6A),一栋,二单元,6,a
61,61,七里香榭花园-2栋(一单元8b),2栋,一单元,8,8b,七里香榭花园-2栋 (一单元8B),2栋,一单元,8,b
62,62,创客工坊-e栋(6楼605),e栋,,6,605,创客工坊-E栋 (6楼605),e栋,,6楼,605
63,63,南贤商业广场-b栋(南贤商业广场b座1102a),b栋,,11,02a,南贤商业广场-B栋 (南贤商业广场B座1102A),b栋,,11,1102a
64,64,里石排村社区(里石排村3巷5号楼),5号楼,,,,里石排村社区 (里石排村3巷5号楼),5号楼,,,
65,65,优城商务大厦(a座716单元),a座,716单元,,,优城商务大厦 (A座716单元),a座,716单元,,
66,66,金方华南坑电商科技园(南坑科技园水库路12号（红光仿真花）402),,,4,402,金方华南坑电商科技园 (南坑科技园水库路12号（红光仿真花）402),,,4,402
68,68,初鹿野c.luye日式精准美甲美睫(龙光玖钻4b栋1816),4b栋,,18,1816,初鹿野C.luYE 日式精准美甲美睫 (龙光玖钻4B栋1816),4b栋,,18,1816
69,69,爱之家青年公寓(16店)(0402),,,4,0402,爱之家青年公寓(16店) (0402),,,4,402
70,70,明新工业园c(4楼),,,4,,明新工业园C (4楼),c,,4楼,
71,71,翠岭华庭(翠岭华庭2栋1单元22b),2栋,1单元,22,22b,翠岭华庭 (翠岭华庭2栋1单元22B),2栋,1单元,22,b
72,72,星河开市客环球商业中心品牌体验中心(龙华开市客环球商业品牌中心),,,,,星河开市客环球商业中心品牌体验中心 (龙华开市客环球商业品牌中心),,,,
73,73,民乐科技园(民乐科技大厦5楼506),,,5,506,民乐科技园 (民乐科技大厦5楼506),,,5楼,506
74,74,翠岭华庭(翠岭华庭2栋3单元3d),2栋,3单元,3,3d,翠岭华庭 (翠岭华庭2栋3单元3d),2栋,3单元,3,d
75,75,万科四季花城北区(海棠苑g座201),g座,,2,201,万科四季花城北区 (海棠苑G座201),g座,,2,201
76,76,城市山海中心-a栋(115),a栋,,1,15,城市山海中心-A栋 (115),a栋,,1,115
77,77,华业玫瑰四季(一期一栋三座4a),一栋,4a,,,华业玫瑰四季 (一期   一栋三座4a),一栋三座,,4,a
78,78,龙光玖钻(5c栋821室),5c栋,,8,821,龙光玖钻 (5C栋821室),5c栋,,8,821
79,79,公园大地-21栋-b单元(龙岗区公园大地21栋b808),21栋|21栋,b单元,8,b808,公园大地-21栋-b单元 (龙岗区公园大地21栋B808),21栋,b单元,8,808
80,80,阿里巴巴博丰深圳仓(华南物流五号仓，42-43阿里巴巴博丰仓),,,,42-43阿里巴巴博丰仓,阿里巴巴博丰深圳仓 (华南物流五号仓，42-43 阿里巴巴博丰仓),,,,42-43
81,81,万科璞悦山(25a1301),,,13,01,万科璞悦山 (25A1301),25a,,13,1301
82,82,自在国际青年社区a栋(1716),a栋,,17,1716,自在国际青年社区A栋 (1716),a栋,,17,1716
83,83,向南一区-22栋(803),22栋,,8,803,向南一区-22栋 (803),22栋,,8,803
84,84,深国际万科和风轩(1栋c座902),1栋|c座,,9,02,深国际万科和风轩 (1栋C座902),1栋c座,,9,902
85,85,四季花城紫荆苑-l座(201放门口),l座,,2,01,四季花城紫荆苑-L座 (201放门口),l座,,2,201
86,86,民乐老村-111栋(民乐老村111栋803),111栋,,8,803,民乐老村-111栋 (民乐老村111栋803),111栋,,8,803
87,87,壹克拉a栋-2单元(1506),a栋,2单元,15,1506,壹克拉A栋-2单元 (1506),a栋,2单元,15,1506
88,88,龙岸花园-1栋(12ab),1栋,,12,ab,龙岸花园-1栋 (12ab),1栋,,12,ab
89,89,润达圆庭(龙华区同学都荟中心中梅路润达园庭花园商场3层英孚教育),,,3,,润达圆庭 (龙华区同学都荟中心中梅路润达园庭花园商场3层英孚教育),,,3,
90,90,华业玫瑰四季ⅰ期(1栋3座21b),1栋|3座,,21,21b,华业玫瑰四季Ⅰ期 (1栋3座21B),1栋b座,,21,b
91,91,卓越皇后道-3栋(3a4c),3栋,,,3a4c,卓越皇后道-3栋 ( 3A4C),3栋,a,4,c
93,93,华业玫瑰四季花园2期(2栋5b),2栋,,5,5b,华业玫瑰四季花园2期 (2栋5B),2栋,,5,b
94,94,远景大厦(门口),,,,,远景大厦 (门口),,,,
95,95,潜龙曼海宁花园北区(4栋1单元20b),4栋,1单元,2,20b,潜龙曼海宁花园北区 (4栋1单元20B),4栋,1单元,20,b
96,96,龙军工业区-11栋(5楼),11栋,,5,,龙军工业区-11栋 (5楼),11栋,,5,
98,98,星河world·银湖谷-9号楼(9栋1楼物业服务中心),9号楼,,1,物业服务中心,星河WORLD·银湖谷-9号楼 (9栋1楼物业服务中心),9栋,,1楼,
99,99,民乐工业区写字楼-1栋(1栋301宝德龙),1栋,,3,301宝德龙,民乐工业区写字楼-1栋 (1栋301宝德龙),1栋,,3,301
100,100,远景家园(一栋一单元803),一栋,一单元,8,803,远景家园 (一栋一单元803),一栋,一单元,8,803
101,101,星河worldb座(2401a),,,24,2401a,星河WORLDB座 (2401A),b座,,2,240
102,102,坂田五和和磡村六巷(六巷五号1008),,,,1008,坂田五和和磡村六巷 (六巷五号1008),,,10,1008
103,103,南源商业大厦-东座(901a),东座,,9,01a,南源商业大厦-东座 (901A),东座,,9,901a
104,104,深扬广告招牌喷绘桁架背景(1605栋311（五和大道南路55号）),1605栋,,3,311,深扬广告招牌喷绘桁架背景 (1605栋311（五和大道南路55号）),1605栋,,,311
105,105,星河world·银湖谷-9号楼(银湖谷9栋一楼物业服务中心旁边),9号楼,,1,物业服务中心旁边,星河WORLD·银湖谷-9号楼 (银湖谷9栋一楼物业服务中心旁边),9栋,,一楼,
106,106,万科第5园4期-6号楼(1602),6号楼,,16,02,万科第5园4期-6号楼 (1602),6号楼,,16,1602
107,107,金方华南坑电商科技园(三楼3a),,,3,3a,金方华南坑电商科技园 (三楼3A),,,3,a
108,108,toni&guy彩秀(龙华壹方城店)(壹方天地c区四楼朗玩旁边理发店),,四楼,,朗玩旁边理发店,TONI&GUY 彩秀(龙华壹方城店) (壹方天地C区四楼朗玩旁边理发店),,,四楼,
109,109,万科星火online-6栋(6栋308),6栋|6栋,,3,308,万科星火ONLINE-6栋 (6栋308),6栋,,3,308
110,110,立新新村(南桥镇立新新村8号502室),,,5,502,立新新村 (南桥镇立新新村8号502室),,,5,502
111,111,龙岸花园2栋(1单元7a（电梯正对面中间的门，不要敲错门）),2栋,1单元,7,7a,龙岸花园2栋 (1单元7A（电梯正对面中间的门，不要敲错门）),2栋,1单元,7,a
112,112,赛博大厦(一楼103圣悦西饼),,,1,103圣悦西饼,赛博大厦 (一楼103圣悦西饼),,,一楼,103
113,113,星河银湖谷(星河银湖谷住宅6栋36楼3602),6栋,,36,3602,星河银湖谷 (星河银湖谷住宅 6栋 36楼 3602),6栋,,36楼,3602
114,114,南坑(地铁站)(南坑地铁站车控室),,,,南坑地铁站车控室,南坑(地铁站) (南坑地铁站车控室),,,,
115,115,泰洲祥宇(507),,,5,507,泰洲祥宇 (507),,,5,507
116,116,万科紫悦山(6栋1602),6栋,,16,1602,万科紫悦山 (6栋1602),6栋,,16,1602
117,117,龙华区观澜行政服务大厅-南门(观澜街道行政服务大厅后门),,,,,龙华区观澜行政服务大厅-南门 (观澜街道行政服务大厅后门),,,,
118,118,星河world-f座(6楼),f座,,6,,星河WORLD-F座 (6楼),f座,,6楼,
119,119,龙岸花园-6栋(17ef),6栋,,,17ef,龙岸花园-6栋 (17EF),6栋,,17,ef
120,120,坂田小学(保安室外架子上),,,,,坂田小学 (保安室外架子上),,,,
121,121,万科星火online-7栋(万科星火7栋101),7栋,,1,101,万科星火online-7栋 (万科星火7栋101),7栋,,1,101
122,122,hbc汇隆中心总部大楼-办公楼(28层中兴网信),,,28,中兴网信,hbc汇隆中心 总部大楼-办公楼 (28层中兴网信),办公楼,,28层,
123,123,深圳北站希尔顿欢朋酒店(深圳北站希尔顿欢朋酒店前台),,,,前台,深圳北站希尔顿欢朋酒店 (深圳北站希尔顿欢朋酒店前台),,,,
124,124,鼎曦大厦(鼎曦大厦23a),,,23,23a,鼎曦大厦 (鼎曦大厦23A),,,23,a
125,125,创业花园-64栋(1304),64栋,,13,1304,创业花园-64栋 (1304),64栋,,13,1304
126,126,鸿荣源.天俊公寓-d栋(5910),d栋,,,5910,鸿荣源.天俊公寓-D栋 (5910),d栋,,59,5910
127,127,龙岗星河ico(商场4楼花雨舞蹈),,,4,,龙岗星河iCO (商场4楼花雨舞蹈),,,4楼,
128,128,星河world二期-b栋(1),b栋,,1,,星河WORLD二期-B栋 (1),b栋,,,1
129,129,亦武文化(星河·领创天下店)(三楼),,,3,,亦武文化(星河·领创天下店) (三楼),,,3,
130,130,民乐翠园-15栋(龙华区民治民乐翠园15栋精益眼镜),15栋,,,精益眼镜,民乐翠园-15栋 (龙华区民治民乐翠园15栋精益眼镜),15栋,,,
131,131,翠柏苑(l101),,,1,l101,翠柏苑 (L101),l,,1,101
132,132,龙光·玖钻-ia栋(龙光玖钻1a栋1516),ia栋,,15,16,龙光·玖钻-IA栋 (龙光玖钻1A栋1516),ia栋|1a栋,,15,1516
133,133,tod科技中心-2栋(702),2栋,,7,702,TOD科技中心-2栋 (702),2栋,,7,702
134,134,九方购物中心(龙华店)(中航天逸b3栋2305),b3栋,,23,2305,九方购物中心(龙华店) (中航天逸B3栋2305),b3栋,,23,2305
135,135,坂田南坑麒麟路四巷-7栋(401),7栋,,4,01,坂田南坑麒麟路四巷-7栋 (401),7栋,,4,401
136,136,比瑞吉宠物用品有限公司(6383号),,,,6383号,比瑞吉宠物用品有限公司 (6383号),,,63,6383
137,137,黑白键琴行(民丰路店)(黑白键琴行中心办),,,,黑白键琴行中心办,黑白键琴行(民丰路店) (黑白键琴行中心办),,,,
138,138,健康元海滨药业有限公司(金辉路11号健康元海滨药业),,,,,健康元海滨药业有限公司 (金辉路11号健康元海滨药业),,,,
139,139,龙塘村(西11巷6号205),,,2,205,龙塘村 (西11巷6号205),,,2,205
140,140,滢水山庄一区7栋(7栋6楼),7栋,,6,,滢水山庄一区7栋 (7栋6楼),7栋,,6楼,
141,141,圆梦科技大厦(6楼602),,,6,602,圆梦科技大厦 (6楼602),,,6楼,602
142,142,华业玫瑰四季2期-1栋-1单元(11a),1栋,1单元,11,11a,华业玫瑰四季2期-1栋-1单元 (11A),1栋,1单元,11,a
143,143,龙光玖钻(建设中)(3c栋2201),3c栋,,22,2201,龙光玖钻(建设中) (3C栋2201),3c栋,,22,2201
144,144,城投·七里香榭-8栋(一单元业委会办公室),8栋,一单元,,业委会办公室,城投·七里香榭-8栋 (一单元业委会办公室),8栋,一单元,,
145,145,金茂府-2b栋(1902),2b栋,,19,1902,金茂府-2B栋 (1902),2b栋,,19,1902
146,146,莱蒙·水榭春天-10栋(10h),10栋,,,10h,莱蒙·水榭春天-10栋 (10H),10栋,,10,h
147,147,东边旧村31栋(佰润便利商店521号民治大道上东边公交车站后面),31栋,,,,东边旧村31栋 (佰润便利商店521号民治大道上东边公交车站后面),31栋,,,
148,148,深圳香港培侨书院龙华信义学校(陪读楼2407),陪读楼,,24,2407,深圳香港培侨书院龙华信义学校 (陪读楼2407),陪读楼,,24,2407
149,149,深圳细刻网络科技有限公司(6栋3楼妙言妙语旁边楼梯上),6栋,,3,,深圳细刻网络科技有限公司 (6栋3楼 妙言妙语旁边楼梯上),6栋,,3,
150,150,星河world-f座(f栋8楼),f座,,8,,星河WORLD-F座 (F栋8楼),f座,,8楼,
151,151,金地上塘道花园(二期9栋2单元22a),9栋,2单元,22,a,金地上塘道花园 (二期9栋2单元22A),9栋,2单元,22,a
152,152,华晖瑞禧-2栋-b单元(3303),2栋,,33,03,华晖瑞禧-2栋-b单元 (3303),2栋,b单元,33,3303
153,153,龙光玖钻南区-4c栋(龙光玖钻4c1926),4c栋,,19,26,龙光玖钻南区-4C栋 (龙光玖钻4C1926),4c栋,,19,1926
154,154,8号仓(8号仓3楼jnbybyjnby(江南布衣）),8号,,3,jnbybyjnby(江南布衣）,8号仓 (8号仓3楼jnby by JNBY(江南布衣）),,,3楼,
155,155,金地上塘道r系-10栋-2单元(10栋2单元),10栋,2单元,,,金地上塘道R系-10栋-2单元 (10栋2单元),10栋,2单元,,
156,156,hbc汇隆中心-北塔(28楼),,,28,,HBC汇隆中心-北塔 (28楼),北塔,,28楼,
157,157,华业玫瑰四季2期(一栋二单元11b),一栋,二单元,11,11b,华业玫瑰四季2期 (一栋二单元11B),1栋,2单元,11,b
158,158,深圳北站moxy酒店(938),,,9,38,深圳北站Moxy酒店 (938),,,9,938
159,159,坂田国际中心(h栋创寓314),h栋,创寓,3,314,坂田国际中心 (H栋创寓314),h栋,,3,314
160,160,民康花园-c5栋(民康花园c5-302),c5栋,,3,02,民康花园-C5栋 (民康花园 c5-302),c5栋,,3,302
161,161,祥嘉公寓(8巷3号(2楼205)),8巷3号,,2楼,205,祥嘉公寓 (8巷3号 (2楼205)),,,2,205
162,162,春华四季园29栋(29栋16d),29栋,,16,16d,春华四季园29栋 (29栋16D),29栋,,16,d
163,163,南景新村a3-4栋(3栋1104（进村右手边第一栋楼第一个单元）),4栋|3栋,第一个单元,11,1104,南景新村A3-4栋 (3栋1104（进村右手边第一栋楼第一个单元）),3栋,,11,1104
164,164,华侨城北站壹号(写字楼2801),写字楼,,28,2801,华侨城北站壹号 (写字楼2801),,,28,2801
165,165,民乐1区(87栋),87栋,,,,民乐1区 (87栋),,,87栋,
166,166,西贝莜面村(万科天誉广场店),,,,,西贝莜面村(万科天誉广场店),,,,
167,167,万象天成-9栋(9-110商铺糯家),9栋,,,110商铺糯家,万象天成-9栋 (9-110商铺糯家),9栋,,,
168,168,创业花园-232栋(12楼1212房间),232栋,,12,1212,创业花园-232栋 (12楼1212房间),232栋,,12楼,1212房
169,169,民乐科技园(e栋209（创客工坊）),e栋,,2,209,民乐科技园 (E栋209（创客工坊）),e栋,,2,209
170,170,星光之约花园麒麟西七巷-11号楼(701),11号楼,,7,701,星光之约花园麒麟西七巷-11号楼 (701),11号楼,,7,701
171,171,嘉熙业广场(11楼1106（南门上),,,11,1106,嘉熙业广场 (11楼1106（南门上),,,11楼,1106
172,172,光雅园二巷(坂田街道光雅园村二巷2号),,,,2号,光雅园二巷 (坂田街道光雅园村二巷2号),,,,
173,173,深圳市肿瘤医院-住院部,,,,,深圳市肿瘤医院-住院部,,,,
174,174,龙光·玖钻北区-北门(1b1710),,,17,10,龙光·玖钻北区-北门 (1b1710),1b,,17,1710
175,175,铭洋楼(南七巷一号吉祥公寓1007),,,,南七巷一号吉祥公寓1007,铭洋楼 (南七巷一号吉祥公寓1007),,,10,1007
176,176,星河world-f座(503),f座,,5,503,星河WORLD-F座 ( 503),f座,,5,503
177,177,中航天逸(龙华天虹商场负一楼指朴美甲（华润万家旁）),,,,,中航天逸 (龙华天虹商场负一楼指朴美甲（华润万家旁）),,,负一楼,
178,178,星河world·银湖谷-3号楼(3a-206),3号楼,,3,206,星河WORLD·银湖谷-3号楼 (3A-206),3号楼,a,2,206
179,179,春华四季园-13号楼(1单元16d),13号楼,1单元,1,16d,春华四季园-13号楼 (1单元16D),13号楼,1单元,16,d
180,180,横岭村四区-12栋(604),12栋,,6,04,横岭村四区-12栋 (604),12栋,,6,604
181,181,泰巷公寓八巷-4号楼(816楼下有个丰巢柜),4号楼,,8,816,泰巷公寓八巷-4号楼 (816  楼下有个丰巢柜),4号楼,,8,816
182,182,金地梅陇镇(17栋五单元27b),17栋,五单元,27,27b,金地梅陇镇 (17栋五单元27B),17栋,五单元,27,b
183,183,东一新村b区(11栋1301),11栋,,13,01,东一新村B区 (11栋1301),11栋,,13,1301
184,184,深圳龙溪山庄(d栋204),d栋,,2,204,深圳龙溪山庄 (D栋204),d栋,,2,204
185,185,魔方公寓(坂田店)(魔方公寓),,,,,魔方公寓(坂田店) (魔方公寓),,,,
186,186,昆仑鸿星冰球俱乐部,,,,,昆仑鸿星冰球俱乐部,,,,
187,187,万科星火online(七栋237室),七栋,,2,237,万科星火online (七栋237室),七栋,,2,237室
188,188,阳光第五季(赏菊阁一单元14d),赏菊阁,一单元,14,14d,阳光第五季 (赏菊阁一单元14D),,1单元,14,d
189,189,满京华喜悦里华庭(1号商铺微时光),1号,,,微时光,满京华喜悦里华庭 (1号商铺微时光),,,,1
190,190,星河丹堤f区(f1-124楼2402),,,24,2402,星河丹堤F区 (F1-1 24楼 2402),f1,1,24,2402
191,191,润达圆庭(a栋1421),a栋,,14,21,润达圆庭 (A栋1421),a栋,,14,1421
192,192,金地上塘道r系(11栋1单元9c),11栋,1单元,9,9c,金地上塘道R系 (11栋1单元9C),11栋,1单元,9,c
193,193,瑞清眼镜(红山6979店)(一楼瑞清眼镜（中国移动旁）小稻田对面),,,1,,瑞清眼镜(红山6979店) (一楼 瑞清眼镜（中国移动旁）小稻田对面),,,1,
194,194,侨联西(乔联西5巷8号1302),,,13,1302,侨联西 (乔联西5巷8号1302),,,13,1302
195,195,乐溪大厦(13楼16单元),,16单元,13,,乐溪大厦 (13楼16单元),,16单元,13楼,
196,196,海岸未来孵化中心-a栋(503),a栋,,5,3,海岸未来孵化中心-A栋 (503),a栋,,5,503
197,197,星河world-f座(30层3002室),,,30,3002,星河WORLD-F座 (30层3002室),f座,,30,3002室
198,198,深国际万科和风轩(g座1207),g座,,12,1207,深国际万科和风轩 (G座1207),g座,,12,1207
199,199,星河world1期-a座(a座2406，到了不用打电话，发柜号和取餐码),a座,,24,2406,星河WORLD1期-A座 (A座2406，到了不用打电话，发柜号和取餐码),a座,,24,2406
200,200,中国建设银行(深圳民治支行)(恒勤大厦2楼),,,2,,中国建设银行(深圳民治支行) (恒勤大厦2楼),,,2,
201,201,东明大厦(民康路)(1039),,,10,1039,东明大厦(民康路) (1039),,,10,1039
202,202,倾城时光美肤中心(龙华店),,,,,倾城时光美肤中心(龙华店),,,,
203,203,星河worldb座(1306),b座,,13,06,星河WORLDB座 (1306),b座,,13,1306
204,204,缤纷世纪公寓-a座(2层226（左侧楼梯可直达）),a座,,2,226,缤纷世纪公寓-A座 (2层226（左侧楼梯可直达）),a座,,2,226
205,205,健鹏药业(上芬分店)(旁边路口走尽头右转坳头老村23号),,,,坳头老村23号,健鹏药业(上芬分店) (旁边路口走尽头右转坳头老村23号),,,,
206,206,怡龙枫景园-3号楼(3a1002),3号楼,,10,3a1002,怡龙枫景园-3号楼 (3A1002),3号楼,a,10,1002
207,207,龙光玖钻北-已区-2a(2a710房),,,7,710房,龙光玖钻北-已区-2a (2A710房),2a,,7,710房
208,208,樟坑2区(49号601),,,6,601,樟坑2区 (49号601),49号,,6,601
209,209,金茂府(金茂府2栋a座3902),2栋a座,,39,3902,金茂府 (金茂府2栋A座3902),2栋a座,,39,3902
210,210,龙塘村(东北1门)(腾龙路龙塘村东区四巷4号703),,,7,703,龙塘村(东北1门) (腾龙路龙塘村东区四巷4号703),,,7,703
211,211,永源锦工业园(爱家公寓),,,,,永源锦工业园 (爱家公寓),,,,
212,212,中海锦城-3c座(3c栋46b（从西门进近一点）),3c座,,46,46b,中海锦城-3C座 (3C栋46B（从西门进近一点）),3c栋,,46,b
213,213,中联制药厂区,,,,,中联制药厂区,,,,
214,214,梅花山庄-韵梅园(梅花山庄韵梅园15栋),15栋,,,,梅花山庄-韵梅园 (梅花山庄韵梅园15栋),15栋,,,
215,215,龙塘新村(9栋8楼),9栋,,8,,龙塘新村 (9栋8楼),9栋,,8楼,
216,216,凯腾公寓(501),,,5,501,凯腾公寓 (501),,,5,501
217,217,向南一区-22栋(龙华区民治街道民旺路32号（30号和28号中间）),22栋,,,,向南一区-22栋 (龙华区民治街道民旺路32号（30号和28号中间）),22栋 ,,,
218,218,深圳市美通供应链有限公司总部(坂银谷a1001-a1004),,a1001-a1004,,,深圳市美通供应链有限公司总部 (坂银谷A1001-A1004),,a,10,a1001-a1004
